flame_vert_id  off_vert_id  dist
      0      796545   0.085505
      1      796546   0.083450
      2      793005   0.082718
      3      796545   0.084869
      4      786007   0.088444
      5      791247   0.085150
      6      782512   0.084939
      7      786007   0.087054
      8     1110578   0.154568
      9     1110578   0.153688
     10     1110578   0.148677
     11     1110578   0.148463
     12     1174260   0.134627
     13     1127156   0.142503
     14     1110578   0.144062
     15     1175833   0.131713
     16      690387   0.011212
     17      698915   0.013048
     18      710935   0.011532
     19      844024   0.072975
     20      844024   0.072559
     21      844024   0.072441
     22      844024   0.072611
     23      844024   0.083204
     24      844024   0.079986
     25      824460   0.079742
     26      824460   0.082305
     27      710926   0.010745
     28      779013   0.089472
     29      780768   0.090645
     30      780767   0.089311
     31      779013   0.088509
     32      786011   0.090857
     33      782517   0.091294
     34      782517   0.090994
     35      782517   0.090833
     36      791252   0.090843
     37      791252   0.090844
     38      791252   0.090066
     39      791252   0.090388
     40     1098039   0.083276
     41     1098039   0.086064
     42     1098039   0.085658
     43     1098039   0.084487
     44     1098039   0.087568
     45     1098039   0.089966
     46      796550   0.092033
     47      960476   0.090191
     48      761357   0.077355
     49      771974   0.077173
     50      771974   0.075831
     51      764887   0.075408
     52      787754   0.097099
     53      793010   0.098324
     54      789504   0.095690
     55      789504   0.094683
     56      779012   0.083643
     57      779012   0.087088
     58      779012   0.088633
     59      779012   0.086235
     60      779013   0.092061
     61      779013   0.093069
     62      798326   0.081877
     63      798326   0.079775
     64      796548   0.079576
     65      796548   0.080834
     66      791247   0.086405
     67      791247   0.083553
     68      793011   0.091045
     69      793011   0.090283
     70      793011   0.090927
     71      791252   0.091402
     72      793010   0.089290
     73      793011   0.090782
     74      793011   0.091491
     75      793011   0.091031
     76      779012   0.082056
     77      771974   0.079219
     78      777252   0.079717
     79      779012   0.083592
     80      780766   0.089553
     81      780766   0.087695
     82      780766   0.088385
     83      780766   0.090142
     84      779013   0.089254
     85      780767   0.090333
     86      779012   0.090100
     87      779007   0.079117
     88      777249   0.079401
     89      782512   0.079419
     90      779007   0.078876
     91     1096389   0.088811
     92      796550   0.097295
     93      796550   0.096937
     94      793010   0.096613
     95      793010   0.097358
     96      960476   0.084130
     97      960476   0.082811
     98     1098039   0.083013
     99     1098039   0.084097
    100      771972   0.077941
    101      773735   0.078619
    102      771972   0.078649
    103      771972   0.078238
    104      786011   0.090534
    105      780766   0.088383
    106      789504   0.088126
    107      787755   0.090579
    108      789504   0.091100
    109     1110578   0.143082
    110     1110578   0.148446
    111     1110578   0.143201
    112     1110578   0.136835
    113      789504   0.088281
    114      786010   0.086641
    115      786011   0.089131
    116      780767   0.088822
    117      782517   0.089634
    118      780767   0.089397
    119      777252   0.085979
    120      779012   0.089349
    121      780766   0.092432
    122      780766   0.087740
    123      796548   0.077607
    124      796549   0.076765
    125      796549   0.079148
    126      796548   0.080185
    127      793010   0.095698
    128      796550   0.095860
    129      796550   0.094695
    130      794777   0.094213
    131      777252   0.079453
    132      780764   0.079708
    133      780764   0.079201
    134      796550   0.082057
    135      796550   0.082634
    136      794777   0.085405
    137      796550   0.085745
    138      794777   0.091361
    139      794777   0.092848
    140     1096389   0.092658
    141     1096389   0.091186
    142      796548   0.080323
    143      796548   0.078880
    144      780766   0.090461
    145      780766   0.088485
    146      780766   0.084503
    147      780766   0.086288
    148      791247   0.076419
    149      791246   0.078384
    150      791246   0.078689
    151      791247   0.076451
    152      791247   0.074948
    153      791247   0.074957
    154      791247   0.073913
    155      791247   0.073818
    156      791246   0.079356
    157      791246   0.078949
    158      791246   0.079057
    159      786007   0.088723
    160      786008   0.092003
    161      786007   0.090722
    162      782512   0.089131
    163      787755   0.091217
    164      763116   0.073766
    165      763116   0.073791
    166      757850   0.076887
    167      796550   0.085651
    168      796550   0.082373
    169      796549   0.082167
    170      796549   0.085276
    171      794774   0.079945
    172      796547   0.081399
    173      796549   0.078544
    174      789499   0.074519
    175      791246   0.077835
    176      791247   0.076150
    177      791247   0.074897
    178      791252   0.091493
    179      789505   0.091729
    180      789505   0.093409
    181      791252   0.092966
    182      898842   0.082256
    183      960476   0.086428
    184      898842   0.080690
    185      773738   0.084674
    186      773738   0.087007
    187      773738   0.089130
    188      779013   0.086609
    189      782511   0.084304
    190      782511   0.083836
    191      782511   0.082107
    192      782511   0.082205
    193      793010   0.139745
    194      793010   0.121091
    195      789504   0.121191
    196      789504   0.137727
    197      794777   0.089644
    198      796551   0.089395
    199      782511   0.074872
    200      777248   0.074701
    201      764883   0.074509
    202      779007   0.074977
    203      782517   0.094065
    204      782517   0.091527
    205      771971   0.076975
    206      763116   0.077381
    207      771972   0.077605
    208      771971   0.077371
    209      782512   0.077181
    210      782512   0.076595
    211      779007   0.077162
    212      782511   0.077648
    213      777248   0.071843
    214      761352   0.072575
    215      796550   0.097742
    216      782512   0.075377
    217      779007   0.075315
    218      782512   0.076272
    219     1134060   0.117599
    220     1113793   0.123225
    221     1134060   0.125665
    222     1139450   0.115791
    223      798326   0.078225
    224      796547   0.078289
    225      773733   0.077755
    226      777249   0.078180
    227      779007   0.079001
    228      782512   0.079937
    229      784262   0.086016
    230      789504   0.088341
    231      793010   0.107942
    232      796550   0.103011
    233      779007   0.077566
    234      777248   0.077793
    235      777248   0.078904
    236      777248   0.078097
    237      796551   0.088975
    238      782514   0.081635
    239      782512   0.082238
    240      782512   0.079927
    241      786011   0.089607
    242      782517   0.089213
    243      782517   0.090282
    244      786011   0.090419
    245      960476   0.086634
    246      782511   0.084554
    247      791247   0.083445
    248      782511   0.082020
    249      782511   0.080123
    250      796547   0.076464
    251      773738   0.086475
    252      779012   0.087889
    253      779012   0.085744
    254      773738   0.084461
    255      771974   0.081132
    256      771974   0.080699
    257      773738   0.084599
    258      782512   0.081060
    259      782512   0.079100
    260      796550   0.082186
    261      796550   0.086271
    262      789504   0.090639
    263      793011   0.087766
    264      786011   0.094259
    265      780766   0.094166
    266      780766   0.092427
    267      786011   0.093228
    268      786010   0.092689
    269      786010   0.094515
    270      791246   0.073602
    271      791246   0.072455
    272      782511   0.082423
    273      782511   0.080233
    274      793011   0.093947
    275      796550   0.092388
    276      793011   0.092838
    277      796550   0.093291
    278      796550   0.091918
    279      796550   0.091738
    280      793010   0.087589
    281      793011   0.089023
    282      791246   0.080461
    283      791246   0.082270
    284      791246   0.080019
    285      786010   0.085629
    286      789504   0.087185
    287      779007   0.076593
    288      782512   0.078572
    289      782512   0.076001
    290      775491   0.075558
    291      779008   0.076411
    292      780762   0.076418
    293      780762   0.075896
    294      796546   0.085043
    295      796547   0.083076
    296      793005   0.081430
    297      771974   0.080095
    298      771974   0.080845
    299      779012   0.090406
    300      779008   0.079818
    301      782512   0.079928
    302      771974   0.082925
    303      771974   0.080341
    304      768434   0.079493
    305      763117   0.079068
    306      898842   0.091018
    307      796550   0.091432
    308      796550   0.091352
    309      796549   0.091241
    310      796549   0.081914
    311      796549   0.084873
    312      789504   0.091693
    313      789504   0.091516
    314      789504   0.091582
    315      789504   0.091253
    316      782512   0.085221
    317      782511   0.086474
    318      777252   0.082042
    319      771974   0.083108
    320      768434   0.079998
    321      773735   0.079967
    322      779012   0.092501
    323      782512   0.080132
    324      782512   0.080882
    325      782512   0.079802
    326      782511   0.077999
    327      782512   0.077461
    328      775491   0.076229
    329      771974   0.077283
    330      773735   0.076715
    331      771972   0.076331
    332      777248   0.078297
    333     1110578   0.163059
    334     1110578   0.173055
    335      754138   0.021864
    336      741960   0.025648
    337      787499   0.019920
    338      787501   0.016996
    339      763116   0.074877
    340      757850   0.077562
    341      757850   0.077733
    342      757850   0.075515
    343      773738   0.083729
    344      779013   0.088023
    345      791247   0.081305
    346      791246   0.082978
    347      796545   0.086233
    348      796545   0.086026
    349      793005   0.086676
    350      796546   0.087210
    351      793005   0.087333
    352      793005   0.085924
    353      796547   0.085705
    354      796546   0.088183
    355      796545   0.087464
    356      796545   0.086706
    357      796546   0.087561
    358      796546   0.088343
    359      771974   0.078264
    360      771974   0.079149
    361      779012   0.087548
    362      780766   0.088760
    363      779012   0.085298
    364      779012   0.086603
    365      794774   0.075314
    366      796549   0.076169
    367      796549   0.076987
    368      779013   0.087486
    369      779013   0.088210
    370      898842   0.082459
    371      960476   0.081969
    372     1201070   0.068909
    373     1177405   0.078569
    374     1188473   0.078477
    375     1238032   0.068897
    376      771972   0.074230
    377      763116   0.073334
    378      796545   0.086504
    379      796545   0.088490
    380      796546   0.086659
    381      793005   0.082229
    382      796545   0.084539
    383      793005   0.086884
    384      793005   0.084441
    385      793005   0.082729
    386      796547   0.083635
    387      796549   0.084836
    388      796549   0.081568
    389      796545   0.088844
    390      782511   0.083175
    391      793005   0.085284
    392      791246   0.086192
    393      791246   0.086092
    394      793005   0.085745
    395      794777   0.087350
    396      794777   0.086179
    397      796550   0.086288
    398      794776   0.083440
    399      782512   0.081791
    400      782512   0.079309
    401      791246   0.080085
    402      793005   0.084121
    403      791246   0.085511
    404      793005   0.081936
    405      791246   0.079793
    406      791246   0.079836
    407      793005   0.081991
    408      780763   0.079664
    409      771971   0.074272
    410      779008   0.074995
    411      773738   0.094101
    412      773738   0.099610
    413      773738   0.086783
    414      793005   0.086412
    415      793005   0.085025
    416      796545   0.083860
    417      793011   0.090883
    418      796549   0.081070
    419      782511   0.079634
    420      787755   0.093835
    421      791252   0.093706
    422      782511   0.080316
    423      782511   0.078695
    424      796549   0.084889
    425      796549   0.081753
    426      782511   0.078523
    427      796549   0.077724
    428      780766   0.082525
    429      796551   0.092734
    430      796550   0.092288
    431      796545   0.084257
    432      796547   0.084991
    433      793005   0.085505
    434      791246   0.078407
    435      791246   0.079058
    436      791247   0.076845
    437      791249   0.084500
    438      791248   0.087959
    439      791249   0.089563
    440      793010   0.085642
    441      793011   0.093558
    442      793011   0.093097
    443      793011   0.092145
    444      791252   0.092724
    445      757853   0.103322
    446      757853   0.087617
    447      756113   0.093422
    448      773738   0.088349
    449      773738   0.089787
    450      773738   0.090628
    451      763116   0.075194
    452      768434   0.078247
    453      763116   0.077330
    454      786012   0.094135
