flame_vert_id  off_vert_id  dist
      0       93821   0.047297
      1       93145   0.046565
      2       92470   0.045879
      3       93483   0.047085
      5       92133   0.048934
      6       91124   0.047987
     16       65719   0.001261
     17       67186   0.001351
     18       73606   0.000675
     19      121464   0.046739
     20      120488   0.045079
     21      119183   0.044924
     22      116237   0.046614
     27       73240   0.000546
     40      146837   0.038383
     41      147127   0.041761
     42      146545   0.041975
     43      147415   0.039216
     44      147701   0.040530
     45      146251   0.044494
     46      146836   0.047165
     47      147126   0.044177
     48       90788   0.044173
     49       89782   0.043995
     50       88779   0.041287
     51       88111   0.041050
     62      122760   0.041326
     63      122436   0.040196
     64      114260   0.041601
     65      113930   0.043151
     67       92807   0.047831
     77       88445   0.046171
     78       87113   0.047006
     87       91460   0.040618
     88       90452   0.041542
     89       90117   0.042498
     90       93820   0.041458
     91      147985   0.045852
     96      146544   0.039405
     97      145957   0.039695
     98      147414   0.040166
     99      148827   0.039615
    100       86781   0.041147
    101       86449   0.044051
    102       86117   0.043450
    103       89113   0.041416
    123      112276   0.041522
    124      106256   0.042065
    125      111943   0.044184
    126      111610   0.044623
    131       87777   0.046876
    132       93144   0.048125
    133       92132   0.046737
    140      148267   0.049253
    141      147700   0.049836
    142      115249   0.043999
    143      114920   0.042314
    148       94158   0.042267
    149       93819   0.043185
    150       93482   0.043881
    151       94832   0.043444
    152       94495   0.041598
    153       99869   0.042374
    154      102558   0.041061
    155       91796   0.040763
    156       92806   0.044477
    157       94157   0.044294
    158       91123   0.044416
    164       87445   0.037515
    165       82774   0.036745
    166       82100   0.040962
    169      105919   0.048840
    171      105246   0.045701
    172      110610   0.046180
    173      104910   0.045169
    174       92469   0.039034
    175       90787   0.043615
    176       93481   0.042806
    177       99532   0.041428
    182      146250   0.040601
    183      147125   0.041444
    184      123732   0.039994
    189       89781   0.047210
    190       91459   0.047871
    191       89447   0.045720
    192       93143   0.045368
    199       88444   0.036109
    200       88110   0.034520
    201       84790   0.034655
    202       90116   0.035585
    205       82437   0.040768
    206       81765   0.043135
    207       81431   0.042903
    208       84454   0.041516
    209       92131   0.041984
    210       91795   0.041420
    211       89112   0.041282
    212       88778   0.041897
    213       86780   0.032490
    214       81097   0.034175
    216       94494   0.039682
    223      123084   0.039062
    224      114919   0.040856
    225       84118   0.041944
    226       86448   0.042307
    228       91122   0.045067
    237      146543   0.048582
    239       93818   0.048322
    245      145662   0.041893
