lm_id  vert_id  dist
  1   2139  0.003386
  2     27  0.004527
  3   1429  0.002694
  4   3912  0.001822
  5   3864  0.003303
  6   2135  0.003730
  7   2134  0.002175
  8    694  0.002552
  9     17  0.004057
 10   3868  0.003306
 11   3158  0.003040
 12    338  0.003607
 13   2566  0.002414
 14   3788  0.002008
 15   3706  0.001977
 16   3154  0.002952
 17   3153  0.000685
 18   2189  0.002087
 19    336  0.004282
 20   2177  0.003427
 21   4283  0.001502
 22   1184  0.001541
 23   1363  0.000720
 24   4005  0.000928
 25   4024  0.000916
 26   4049  0.001043
 27   1354  0.001945
 28   3833  0.000462
 29   1341  0.000322
 30   3854  0.001421
 31   1013  0.001300
 32   1014  0.000992
 33   1022  0.000973
 34   4281  0.000842
 35   1367  0.000924
 36   1190  0.001076
 37   5011  0.000785
 38   2386  0.000456
 39   2514  0.000764
 40   4586  0.000464
 41   4562  0.001420
 42   2274  0.001052
 43   2506  0.000909
 44   2512  0.000978
 45   2498  0.001301
 46   2493  0.001409
 47   3690  0.001691
 48   2384  0.000292
 49   4633  0.000982
 50   4601  0.000633
 51   2511  0.000651
 52   4621  0.000824
 53   3553  0.004782
 54   3518  0.004208
 55   3548  0.003435
 56   3501  0.002984
 57   3526  0.003484
 58   3564  0.004140
 59   2741  0.002915
 60   2751  0.002524
 61   2792  0.003725
 62   3551  0.004103
 63   1675  0.001876
 64   1623  0.001366
 65   2058  0.002336
 66   3541  0.004814
 67   3546  0.002106
 68   3546  0.002684
 69   3503  0.007900
 70   2804  0.005412
 71   2808  0.005547
 72   2812  0.006045
 73   2817  0.006940
 74   2864  0.006228
 75   2813  0.003852
 76   2811  0.003957
 77   2774  0.003665
 78   2948  0.007661
 79   2866  0.003436
 80   2813  0.003739
 81   2849  0.008256
 82   2864  0.004395
 83   2850  0.007342
 84   2865  0.003727
 85   2905  0.008514
 86   2864  0.006239
 87   2864  0.004492
 88   1658  0.003535
 89   1691  0.002561
 90   1697  0.001872
 91   1717  0.002067
 92   1717  0.001159
 93   1734  0.001121
 94   1750  0.001333
 95   1751  0.001721
 96   1865  0.006711
 97   1751  0.001823
 98   1734  0.000731
 99   1737  0.004744
100   1736  0.001230
101   1716  0.003471
102   1750  0.000980
103   1803  0.006743
104   1700  0.002669
105   1735  0.001250
